設備編號,型式,縣市,行政區,設置區域描述,設置地點,取締項目,座標緯度,座標經度,拍攝方向,速限,管轄單位,備註
91,雷達,,,,國道三號南向112.2公里,超速,24.714918,120.893754,北往南,110,國道公路警二隊,
92,雷達,,,,國道三號南向117.1公里,超速,24.691969,120.853314,北往南,110,國道公路警二隊,
93,雷達,,,,國道三號南向142.9公里,超速,24.507293,120.713148,北往南,110,國道公路警二隊,
94,雷達,,,,國道三號南向150.2公里,超速,24.453047,120.67839,北往南,110,國道公路警二隊,
95,雷達,,,,國道三號南向162.1公里,超速,24.350278,120.658717,北往南,110,國道公路警七隊,
96,雷達,,,,國道三號南向166公里,超速,24.330594,120.628545,北往南,110,國道公路警七隊,
97,雷達,,,,國道三號南向178.6公里,超速,24.229563,120.590926,北往南,110,國道公路警七隊,
98,雷達,,,,國道三號南向184.1公里,超速,24.190897,120.561881,北往南,110,國道公路警七隊,
99,雷達,,,,國道三號南向218.9公里,超速,23.59276,120.39066,北往南,110,國道公路警七隊,
100,雷達,,,,國道三號南向253.2公里,超速,23.774884,120.628718,北往南,110,國道公路警八隊,
101,雷達,,,,國道三號南向262.01公里,超速,23.43075,120.36124,北往南,110,國道公路警八隊,
102,雷達,,,,國道三號南向282.7公里,超速,23.570353,120.505462,北往南,110,國道公路警八隊,
103,雷達,,,,國道三號南向313.7公里,超速,23.333214,120.433591,北往南,110,國道公路警八隊,
104,雷達,,,,國道三號南向342.1公里,超速,23.110423,120.327289,北往南,110,國道公路警八隊,
105,雷達,,,,國道三號南向358.6公里,超速,22.970579,120.338467,北往南,110,國道公路警八隊,
106,雷達,,,,國道三號南向372.3公里,超速,22.862397,120.369234,北往南,110,國道公路警五隊,
107,雷達,,,,國道三號南向378.85公里,超速,22.8208444,120.4196601,北往南,110,國道公路警五隊,
108,雷達,,,,國道三號南向386公里,超速,22.769219,120.441592,北往南,110,國道公路警五隊,
109,雷達,,,,國道三號南向423.1公里,超速,22.508149,120.524813,北往南,110,國道公路警五隊,
110,雷達,,,,國道三號北向10.2公里,超速,25.078311,121.647484,南往北,90,國道公路警九隊,
111,雷達,,,,國道三號北向14.5公里,超速,25.046878,121.625791,南往北,90,國道公路警九隊,
112,雷達,,,,國道三號北向17.1公里,超速,25.029551,121.610569,南往北,90,國道公路警九隊,
113,雷達,,,,國道三號北向25公里,超速,24.976095,121.57083,南往北,90,國道公路警九隊,
114,雷達,,,,國道三號北向29.1公里,超速,24.958472,121.539182,南往北,90,國道公路警九隊,
115,雷達,,,,國道三號北向30.1公里,超速,24.962166,121.530685,南往北,90,國道公路警九隊,
116,雷達,,,,國道三號北向38.3公里,超速,24.977514,121.465516,南往北,100,國道公路警六隊,
117,雷達,,,,國道三號北向57公里,超速,24.924304,121.304277,南往北,110,國道公路警六隊,
118,雷達,,,,國道三號北向69.5公里,超速,24.857557,121.210519,南往北,110,國道公路警六隊,
119,雷達,,,,國道三號北向84.6公里,超速,24.791381,121.126079,南往北,110,國道公路警六隊,
120,雷達,,,,國道三號北向116.5公里,超速,24.69619,120.857787,南往北,110,國道公路警二隊,
121,雷達,,,,國道三號北向122.5公里,超速,24.6487779,120.8311787,南往北,40,國道公路警二隊,
122,雷達,,,,國道三號北向131.2公里,超速,24.591296,120.779072,南往北,110,國道公路警二隊,
123,雷達,,,,國道三號北向162.1公里,超速,24.350206,120.658836,南往北,110,國道公路警七隊,
124,雷達,,,,國道三號北向171公里,超速,24.293697,120.602092,南往北,110,國道公路警七隊,
125,雷達,,,,國道三號北向177.8公里,超速,24.236176,120.593715,南往北,110,國道公路警七隊,
126,雷達,,,,國道三號北向186.1公里,超速,24.178511,120.548761,南往北,110,國道公路警七隊,
127,雷達,,,,國道三號北向206.6公里,超速,24.071048,120.638644,南往北,110,國道公路警七隊,
128,雷達,,,,國道三號北向218公里,超速,23.999996,120.650424,南往北,110,國道公路警七隊,
129,雷達,,,,國道三號北向235.2公里,超速,23.869972,120.705085,南往北,110,國道公路警七隊,
130,雷達,,,,國道三號北向247.1公里,超速,23.777444,120.687927,南往北,110,國道公路警八隊,
131,雷達,,,,國道三號北向265.1公里,超速,23.692923,120.598801,南往北,110,國道公路警八隊,
132,雷達,,,,國道三號北向284.07公里,超速,23.33292,120.30184,南往北,110,國道公路警八隊,
133,雷達,,,,國道三號北向318.7公里,超速,23.298801,120.407292,南往北,110,國道公路警八隊,
134,雷達,,,,國道三號北向331公里,超速,23.201337,120.355492,南往北,110,國道公路警八隊,
135,雷達,,,,國道三號北向344.7公里,超速,23.083381,120.329218,南往北,110,國道公路警八隊,
136,雷達,,,,國道三號北向374.3公里,超速,22.84931,120.382939,南往北,110,國道公路警五隊,
137,雷達,,,,國道三號北向389.3公里,超速,22.758016,120.471478,南往北,110,國道公路警五隊,
138,雷達,,,,國道三號北向423.2公里,超速,22.507159,120.524929,南往北,110,國道公路警五隊,
139,雷達,,,,國道三號甲線西向1.7公里,超速,25.010769,121.563365,東往西,80,國道公路警九隊,
140,雷達,,,,國道三號甲線西向3.4公里,超速,25.005106,121.578561,東往西,80,國道公路警九隊,
141,雷達,,,,國道四號西向4.4公里,超速,24.305093,120.62779,東往西,100,國道公路警三隊,
142,雷達,,,,國道四號西向23.3公里,超速,24.230285,120.732593,東往西,100,國道公路警三隊,
143,雷達,,,,國道四號東向24.778公里,超速,24.220844,120.725269,西往東,100,國道公路警三隊,
144,雷達,,,,國道五號南向13.3公里,超速,24.949272,121.701534,北往南,80,國道公路警九隊,
145,雷達,,,,國道五號南向16.9公里,超速,24.925926,121.72434,北往南,90,國道公路警九隊,
146,雷達,,,,國道五號南向18.3公里,超速,24.916126,121.732855,北往南,90,國道公路警九隊,
147,雷達,,,,國道五號南向19.7公里,超速,24.907924,121.743366,北往南,90,國道公路警九隊,
148,雷達,,,,國道五號南向21.1公里,超速,24.899525,121.753732,北往南,90,國道公路警九隊,
149,雷達,,,,國道五號南向22.5公里,超速,24.88923,121.761764,北往南,90,國道公路警九隊,
150,雷達,,,,國道五號南向23.9公里,超速,24.87876,121.769417,北往南,90,國道公路警九隊,
151,雷達,,,,國道五號南向25.3公里,超速,24.869598,121.778895,北往南,90,國道公路警九隊,
152,雷達,,,,國道五號南向26.7公里,超速,24.860129,121.788058,北往南,90,國道公路警九隊,
153,雷達,,,,國道五號南向52.7公里,超速,24.63744,121.805564,北往南,90,國道公路警九隊,
154,雷達,,,,國道五號北向接國3南向南港系統公里,超速,25.03584,121.6219225.03584,南往北,40,國道公路警九隊,
155,雷達,,,,國道五號北向5.7公里,超速,24.994559,121.652551,南往北,80,國道公路警九隊,
156,雷達,,,,國道五號北向16.9公里,超速,24.926279,121.724806,南往北,90,國道公路警九隊,
157,雷達,,,,國道五號北向18.3公里,超速,24.916479,121.733311,南往北,90,國道公路警九隊,
158,雷達,,,,國道五號北向19.7公里,超速,24.908276,121.743818,南往北,90,國道公路警九隊,
